partinamn;fylkesnr;kommunenr;partitype;valar;stemmer;relativdel;mandat;utbetalingsar;grunnstonad;stemmestonad;totalt
Drammen Høyre;6;602;Kommune;2011;15045;49,6;25;2013;1 320,00;182 044,50;183 364,50
Drammen KrF;6;602;Kommune;2011;925;3;2;2013;1 320,00;11 192,50;12 512,50
Rødt Drammen;6;602;Kommune;2011;228;0,8;0;2013;0,00;2 758,80;2 758,80
Drammen Senterparti;6;602;Kommune;2011;282;0,9;0;2013;0,00;3 412,20;3 412,20
Drammen Sv;6;602;Kommune;2011;871;2,9;1;2013;1 320,00;10 539,10;11 859,10
DRAMMEN VENSTRE;6;602;Kommune;2011;1148;3,8;2;2013;1 320,00;13 890,80;15 210,80
Kongsberg  Arbeiderparti;6;604;Kommune;2011;4404;35,8;13;2013;1 320,00;53 288,40;54 608,40
Kongsberg Fremskrittsparti;6;604;Kommune;2011;1133;9,2;3;2013;1 320,00;13 709,30;15 029,30
Kongsberg Høyre;6;604;Kommune;2011;2269;18,5;7;2013;1 320,00;27 454,90;28 774,90
Kongsberg KrF;6;604;Kommune;2011;549;4,5;2;2013;1 320,00;6 642,90;7 962,90
Kongsberg Rødt;6;604;Kommune;2011;232;1,9;0;2013;0,00;2 807,20;2 807,20
Kongsberg Senterparti;6;604;Kommune;2011;1094;8,9;3;2013;1 320,00;13 237,40;14 557,40
Kongsberg Sv;6;604;Kommune;2011;444;3,6;1;2013;1 320,00;5 372,40;6 692,40
KONGSBERG VENSTRE;6;604;Kommune;2011;2169;17,6;6;2013;1 320,00;26 244,90;27 564,90
Ringerike  Arbeiderparti;6;605;Kommune;2011;5058;37,4;16;2013;1 320,00;61 201,80;62 521,80
Ringerike Fremskrittsparti;6;605;Kommune;2011;1755;13;6;2013;1 320,00;21 235,50;22 555,50
Ringerike Høyre;6;605;Kommune;2011;3669;27,1;11;2013;1 320,00;44 394,90;45 714,90
Ringerike KrF;6;605;Kommune;2011;376;2,8;1;2013;1 320,00;4 549,60;5 869,60
SOLIDARITETSLISTA AV SV, RØDT OG UAVHENGIGE;6;605;Kommune;2011;1007;7,5;3;2013;1 320,00;12 184,70;13 504,70
Ringerike Senterparti;6;605;Kommune;2011;826;6,1;3;2013;1 320,00;9 994,60;11 314,60
RINGERIKE VENSTRE;6;605;Kommune;2011;824;6,1;3;2013;1 320,00;9 970,40;11 290,40
Hole Fremskrittsparti;6;612;Kommune;2011;227;7,2;2;2013;1 320,00;2 746,70;4 066,70
Hole Høyre;6;612;Kommune;2011;1691;53,5;12;2013;1 320,00;20 461,10;21 781,10
Hole KrF;6;612;Kommune;2011;139;4,4;1;2013;1 320,00;1 681,90;3 001,90
Hole Senterparti;6;612;Kommune;2011;250;7,9;2;2013;1 320,00;3 025,00;4 345,00
Hole Sv;6;612;Kommune;2011;136;4,3;1;2013;1 320,00;1 645,60;2 965,60
Flå  Arbeiderparti;6;615;Kommune;2011;94;15,3;2;2013;1 320,00;1 137,40;2 457,40
Flå Fremskrittsparti;6;615;Kommune;2011;64;10,4;1;2013;1 320,00;774,40;2 094,40
Nes  Arbeiderparti;6;616;Kommune;2011;389;23,2;5;2013;1 320,00;4 706,90;6 026,90
Nes FrP;6;616;Kommune;2011;58;3,5;1;2013;1 320,00;701,80;2 021,80
Nes Høyre;6;616;Kommune;2011;480;28,6;6;2013;1 320,00;5 808,00;7 128,00
Nes Senterparti;6;616;Kommune;2011;354;21,1;4;2013;1 320,00;4 283,40;5 603,40
Gol  Arbeidarparti;6;617;Kommune;2011;695;32,3;7;2013;1 320,00;8 409,50;9 729,50
Gol Framstegsparti;6;617;Kommune;2011;227;10,5;2;2013;1 320,00;2 746,70;4 066,70
Gol Høgre;6;617;Kommune;2011;470;21,8;4;2013;1 320,00;5 687,00;7 007,00
Gol KrF;6;617;Kommune;2011;104;4,8;1;2013;1 320,00;1 258,40;2 578,40
Gol Senterparti;6;617;Kommune;2011;289;13,4;3;2013;1 320,00;3 496,90;4 816,90
Gol Sv;6;617;Kommune;2011;98;4,5;1;2013;1 320,00;1 185,80;2 505,80
GOL VENSTRE;6;617;Kommune;2011;271;12,6;3;2013;1 320,00;3 279,10;4 599,10
Hemsedal  Arbeidarparti;6;618;Kommune;2011;168;14;2;2013;1 320,00;2 032,80;3 352,80
Hemsedal Framstegsparti;6;618;Kommune;2011;146;12,2;2;2013;1 320,00;1 766,60;3 086,60
Hemsedal Høgre;6;618;Kommune;2011;299;25;5;2013;1 320,00;3 617,90;4 937,90
Hemsedal KrF;6;618;Kommune;2011;160;13,4;2;2013;1 320,00;1 936,00;3 256,00
Hemsedal Senterparti;6;618;Kommune;2011;352;29,4;5;2013;1 320,00;4 259,20;5 579,20
Ål og Torpo Arbeidarparti;6;619;Kommune;2011;531;22;5;2013;1 320,00;6 425,10;7 745,10
Ål Framstegsparti;6;619;Kommune;2011;151;6,3;2;2013;1 320,00;1 827,10;3 147,10
Ål Høgre;6;619;Kommune;2011;419;17,4;4;2013;1 320,00;5 069,90;6 389,90
Ål KrF;6;619;Kommune;2011;240;10;3;2013;1 320,00;2 904,00;4 224,00
Ål Senterparti;6;619;Kommune;2011;578;24;6;2013;1 320,00;6 993,80;8 313,80
Ål Sv;6;619;Kommune;2011;85;3,5;1;2013;1 320,00;1 028,50;2 348,50
ÅL VENSTRE;6;619;Kommune;2011;407;16,9;4;2013;1 320,00;4 924,70;6 244,70
Hol  Arbeidarparti;6;620;Kommune;2011;852;36,2;8;2013;1 320,00;10 309,20;11 629,20
Hol Framstegsparti;6;620;Kommune;2011;159;6,7;1;2013;1 320,00;1 923,90;3 243,90
Hol Høgre;6;620;Kommune;2011;905;38,4;8;2013;1 320,00;10 950,50;12 270,50
Hol Senterparti;6;620;Kommune;2011;221;9,4;2;2013;1 320,00;2 674,10;3 994,10
HOL VENSTRE;6;620;Kommune;2011;110;4,7;1;2013;1 320,00;1 331,00;2 651,00
Sigdal og Eggedal Arb.P.;6;621;Kommune;2011;298;16,7;3;2013;1 320,00;3 605,80;4 925,80
Sigdal Fremskrittsparti;6;621;Kommune;2011;105;5,9;1;2013;1 320,00;1 270,50;2 590,50
Sigdal og Eggedal Høyre;6;621;Kommune;2011;337;18,9;4;2013;1 320,00;4 077,70;5 397,70
Sigdal Senterparti;6;621;Kommune;2011;740;41,5;9;2013;1 320,00;8 954,00;10 274,00
SIGDAL VENSTRE;6;621;Kommune;2011;301;16,9;4;2013;1 320,00;3 642,10;4 962,10
Krødsherad  Arbeiderparti;6;622;Kommune;2011;462;40,5;7;2013;1 320,00;5 590,20;6 910,20
Krødsherad Fremskrittsparti;6;622;Kommune;2011;26;2,3;0;2013;0,00;314,60;314,60
Krødsherad Høyre;6;622;Kommune;2011;179;15,7;3;2013;1 320,00;2 165,90;3 485,90
Modum  Arbeiderparti;6;623;Kommune;2011;2377;38,7;14;2013;1 320,00;28 761,70;30 081,70
Modum Fremskrittsparti;6;623;Kommune;2011;765;12,5;5;2013;1 320,00;9 256,50;10 576,50
Modum Høyre;6;623;Kommune;2011;934;15,2;5;2013;1 320,00;11 301,40;12 621,40
Modum KrF;6;623;Kommune;2011;226;3,7;1;2013;1 320,00;2 734,60;4 054,60
Modum Senterparti;6;623;Kommune;2011;1077;17,5;6;2013;1 320,00;13 031,70;14 351,70
MODUM VENSTRE;6;623;Kommune;2011;184;3;1;2013;1 320,00;2 226,40;3 546,40
Øvre Eiker Arbeiderparti;6;624;Kommune;2011;2257;28,9;11;2013;1 320,00;27 309,70;28 629,70
Øvre Eiker Fremskrittsparti;6;624;Kommune;2011;770;9,9;4;2013;1 320,00;9 317,00;10 637,00
Øvre Eiker Høyre;6;624;Kommune;2011;3287;42,1;15;2013;1 320,00;39 772,70;41 092,70
Øvre Eiker Senterparti;6;624;Kommune;2011;747;9,6;4;2013;1 320,00;9 038,70;10 358,70
Øvre Eiker Sv;6;624;Kommune;2011;290;3,7;1;2013;1 320,00;3 509,00;4 829,00
ØVRE EIKER VENSTRE;6;624;Kommune;2011;152;1,9;1;2013;1 320,00;1 839,20;3 159,20
Nedre Eiker Arbeiderparti;6;625;Kommune;2011;4274;41,9;15;2013;1 320,00;51 715,40;53 035,40
Nedre Eiker Fremskrittsparti;6;625;Kommune;2011;1292;12,7;5;2013;1 320,00;15 633,20;16 953,20
Nedre Eiker Høyre;6;625;Kommune;2011;3463;33,9;12;2013;1 320,00;41 902,30;43 222,30
Nedre Eiker KrF;6;625;Kommune;2011;426;4,2;1;2013;1 320,00;5 154,60;6 474,60
Nedre Eiker Rødt;6;625;Kommune;2011;57;0,6;0;2013;0,00;689,70;689,70
NEDRE EIKER VENSTRE;6;625;Kommune;2011;286;2,8;1;2013;1 320,00;3 460,60;4 780,60
Lier  Arbeiderparti;6;626;Kommune;2011;3714;32,1;16;2013;1 320,00;44 939,40;46 259,40
Lier Fremskrittsparti;6;626;Kommune;2011;1168;10,1;5;2013;1 320,00;14 132,80;15 452,80
Lier Høyre;6;626;Kommune;2011;4621;39,9;20;2013;1 320,00;55 914,10;57 234,10
Lier KrF;6;626;Kommune;2011;342;3;2;2013;1 320,00;4 138,20;5 458,20
Lier Senterparti;6;626;Kommune;2011;562;4,9;2;2013;1 320,00;6 800,20;8 120,20
Lier Sv;6;626;Kommune;2011;386;3,3;2;2013;1 320,00;4 670,60;5 990,60
LIER VENSTRE;6;626;Kommune;2011;470;4,1;2;2013;1 320,00;5 687,00;7 007,00
Røyken  Arbeiderparti;6;627;Kommune;2011;2738;29,5;8;2013;1 320,00;33 129,80;34 449,80
Røyken Fremskrittsparti;6;627;Kommune;2011;1039;11,2;3;2013;1 320,00;12 571,90;13 891,90
Røyken Høyre;6;627;Kommune;2011;4061;43,8;13;2013;1 320,00;49 138,10;50 458,10
Røyken KrF;6;627;Kommune;2011;212;2,3;0;2013;0,00;2 565,20;2 565,20
Rødt Røyken;6;627;Kommune;2011;107;1,2;0;2013;0,00;1 294,70;1 294,70
Røyken Senterparti;6;627;Kommune;2011;184;2;0;2013;0,00;2 226,40;2 226,40
RØYKEN VENSTRE;6;627;Kommune;2011;573;6,2;2;2013;1 320,00;6 933,30;8 253,30
Hurum  Arbeiderparti;6;628;Kommune;2011;1376;30;9;2013;1 320,00;16 649,60;17 969,60
Hurum Fremskrittsparti;6;628;Kommune;2011;430;9,4;3;2013;1 320,00;5 203,00;6 523,00
Hurum Høyre;6;628;Kommune;2011;1868;40,8;12;2013;1 320,00;22 602,80;23 922,80
Hurum KrF;6;628;Kommune;2011;132;2,9;1;2013;1 320,00;1 597,20;2 917,20
Hurum Senterparti;6;628;Kommune;2011;176;3,8;1;2013;1 320,00;2 129,60;3 449,60
Hurum Sv;6;628;Kommune;2011;202;4,4;1;2013;1 320,00;2 444,20;3 764,20
HURUM VENSTRE;6;628;Kommune;2011;338;7,4;2;2013;1 320,00;4 089,80;5 409,80
Flesberg  Arbeiderparti;6;631;Kommune;2011;281;20,8;4;2013;1 320,00;3 400,10;4 720,10
Flesberg Fremskrittsparti;6;631;Kommune;2011;290;21,5;5;2013;1 320,00;3 509,00;4 829,00
Flesberg Høyre;6;631;Kommune;2011;470;34,8;7;2013;1 320,00;5 687,00;7 007,00
Flesberg Senterparti;6;631;Kommune;2011;263;19,5;4;2013;1 320,00;3 182,30;4 502,30
FLESBERG VENSTRE;6;631;Kommune;2011;46;3,4;1;2013;1 320,00;556,60;1 876,60
Rollag og Veggli Arb.parti;6;632;Kommune;2011;290;38,8;7;2013;1 320,00;3 509,00;4 829,00
Rollag og Veggli Høyre;6;632;Kommune;2011;192;25,7;4;2013;1 320,00;2 323,20;3 643,20
Nore og Uvdal Arb.parti;6;633;Kommune;2011;436;32,6;8;2013;1 320,00;5 275,60;6 595,60
Nore og Uvdal Fremskrittsparti;6;633;Kommune;2011;175;13,1;3;2013;1 320,00;2 117,50;3 437,50
Nore og Uvdal Høyre;6;633;Kommune;2011;253;18,9;4;2013;1 320,00;3 061,30;4 381,30
Nore og Uvdal Senterparti;6;633;Kommune;2011;422;31,6;7;2013;1 320,00;5 106,20;6 426,20
Vestfold AUF;7;700;FylkesUngdom;2011;0;0;0;2013;0,00;300 348,24;300 348,24
Vestfold Arbeiderparti;7;700;Fylke;2011;33823;31,9;13;2013;48 107,00;950 426,30;998 533,30
Vestfold Fremskrittsparti;7;700;Fylke;2011;13482;12,7;5;2013;48 107,00;378 844,20;426 951,20
Vestfold Fremskrittpartis Ungdom;7;700;FylkesUngdom;2011;0;0;0;2013;0,00;119 720,16;119 720,16
Vestfold Unge Høyre;7;700;FylkesUngdom;2011;0;0;0;2013;0,00;316 305,60;316 305,60
Vestfold Høyre;7;700;Fylke;2011;35620;33,6;14;2013;48 107,00;1 000 922,00;1 049 029,00
Vestfold Kristelig Folkepartis Ungdom;7;700;FylkesUngdom;2011;0;0;0;2013;0,00;47 286,00;47 286,00
Vestfold Kristelig Folkeparti;7;700;Fylke;2011;5325;5;2;2013;48 107,00;149 632,50;197 739,50
Vestfold Kristent Samlingsparti;7;700;Fylke;2011;399;0;0;2013;0,00;11 211,90;11 211,90
Kystpartiet i Vestfold;7;700;Fylke;2011;258;0,2;0;2013;0,00;7 249,80;7 249,80
Miljøpartiet De Grønne;7;700;Fylke;2011;1134;1,1;0;2013;0,00;31 865,40;31 865,40
Vestfold Rød Ungdom;7;700;FylkesUngdom;2011;0;0;0;2013;0,00;13 328,88;13 328,88
Vestfold Senterungdom;7;700;FylkesUngdom;2011;0;0;0;2013;0,00;35 102,64;35 102,64
Vestfold Senterparti;7;700;Fylke;2011;3953;3,7;1;2013;48 107,00;111 079,30;159 186,30
Vestfold SU;7;700;FylkesUngdom;2011;0;0;0;2013;0,00;35 715,36;35 715,36
Vestfold Sv;7;700;Fylke;2011;4022;3,8;2;2013;48 107,00;113 018,20;161 125,20
VESTFOLD VENSTRE;7;700;Fylke;2011;4604;4,3;2;2013;48 107,00;129 372,40;177 479,40
VESTFOLD UNGE VENSTRE;7;700;FylkesUngdom;2011;0;0;0;2013;0,00;40 883,52;40 883,52
Horten Arbeiderparti;7;701;Kommune;2011;4646;35,4;15;2013;1 320,00;56 216,60;57 536,60
Horten Fremskrittsparti;7;701;Kommune;2011;1005;7,7;3;2013;1 320,00;12 160,50;13 480,50
Horten og Borre Høyre;7;701;Kommune;2011;5031;38,3;16;2013;1 320,00;60 875,10;62 195,10
Horten KrF;7;701;Kommune;2011;363;2,8;1;2013;1 320,00;4 392,30;5 712,30
Horten Rødt;7;701;Kommune;2011;515;3,9;2;2013;1 320,00;6 231,50;7 551,50
Horten Sv;7;701;Kommune;2011;405;3,1;1;2013;1 320,00;4 900,50;6 220,50
HORTEN VENSTRE;7;701;Kommune;2011;653;5;2;2013;1 320,00;7 901,30;9 221,30
Holmestrand  Arb.parti;7;702;Kommune;2011;1466;29,2;8;2013;1 320,00;17 738,60;19 058,60
Holmestrand Fremskrittsparti;7;702;Kommune;2011;296;5,9;2;2013;1 320,00;3 581,60;4 901,60
Holmestrand Høyre;7;702;Kommune;2011;2310;46;12;2013;1 320,00;27 951,00;29 271,00
Holmestrand KrF;7;702;Kommune;2011;229;4,6;1;2013;1 320,00;2 770,90;4 090,90
Holmestrand Senterparti;7;702;Kommune;2011;307;6,1;2;2013;1 320,00;3 714,70;5 034,70
Holmestrand Sv;7;702;Kommune;2011;253;5;1;2013;1 320,00;3 061,30;4 381,30
HOLMESTRAND VENSTRE;7;702;Kommune;2011;157;3,1;1;2013;1 320,00;1 899,70;3 219,70
Tønsberg  Arbeiderparti;7;704;Kommune;2011;6363;32,5;13;2013;1 320,00;76 992,30;78 312,30
Tønsberg Fremskrittsparti;7;704;Kommune;2011;1955;10;4;2013;1 320,00;23 655,50;24 975,50
Tønsberg Høyre;7;704;Kommune;2011;7233;37;15;2013;1 320,00;87 519,30;88 839,30
Tønsberg KrF;7;704;Kommune;2011;979;5;2;2013;1 320,00;11 845,90;13 165,90
Miljøpartiet De Grønne Tønsberg kommune;7;704;Kommune;2011;137;0,7;0;2013;0,00;1 657,70;1 657,70
Tønsberg Senterparti;7;704;Kommune;2011;446;2,3;1;2013;1 320,00;5 396,60;6 716,60
Tønsberg & Nøtterøy Sv;7;704;Kommune;2011;1035;5,3;2;2013;1 320,00;12 523,50;13 843,50
TØNSBERG VENSTRE;7;704;Kommune;2011;936;4,8;2;2013;1 320,00;11 325,60;12 645,60
Sandefjord Arbeiderparti;7;706;Kommune;2011;4650;22,5;9;2013;1 320,00;56 265,00;57 585,00
Sandefjord Fremskrittsparti;7;706;Kommune;2011;2474;12;5;2013;1 320,00;29 935,40;31 255,40
Sandefjord Høyre;7;706;Kommune;2011;9878;47,9;18;2013;1 320,00;119 523,80;120 843,80
Sandefjord KrF;7;706;Kommune;2011;827;4;2;2013;1 320,00;10 006,70;11 326,70
Kystpartiet;7;706;Kommune;2011;35;0,2;0;2013;0,00;423,50;423,50
Miljøpartiet De Grønne;7;706;Kommune;2011;206;1;0;2013;0,00;2 492,60;2 492,60
Sandefjord Pensjonistparti;7;706;Kommune;2011;416;2;1;2013;1 320,00;5 033,60;6 353,60
Sandefjord Senterparti;7;706;Kommune;2011;231;1,1;0;2013;0,00;2 795,10;2 795,10
SANDEFJORD VENSTRE;7;706;Kommune;2011;933;4,5;2;2013;1 320,00;11 289,30;12 609,30
Larvik  Arbeiderparti;7;709;Kommune;2011;7896;38,5;14;2013;1 320,00;95 541,60;96 861,60
Larvik Fremskrittsparti;7;709;Kommune;2011;4340;21,2;8;2013;1 320,00;52 514,00;53 834,00
Larvik Høyre;7;709;Kommune;2011;3620;17,6;6;2013;1 320,00;43 802,00;45 122,00
Larvik KrF;7;709;Kommune;2011;1268;6,2;2;2013;1 320,00;15 342,80;16 662,80
Larvik Rødt;7;709;Kommune;2011;232;1,1;0;2013;0,00;2 807,20;2 807,20
Larvik Senterparti;7;709;Kommune;2011;670;3,3;1;2013;1 320,00;8 107,00;9 427,00
Larvik Sv;7;709;Kommune;2011;552;2,7;1;2013;1 320,00;6 679,20;7 999,20
LARVIK VENSTRE;7;709;Kommune;2011;1555;7,6;3;2013;1 320,00;18 815,50;20 135,50
Svelvik  Arbeiderparti;7;711;Kommune;2011;1370;45,5;11;2013;1 320,00;16 577,00;17 897,00
Svelvik Fremskrittsparti;7;711;Kommune;2011;413;13,7;3;2013;1 320,00;4 997,30;6 317,30
Svelvik Høyre;7;711;Kommune;2011;787;26,2;7;2013;1 320,00;9 522,70;10 842,70
Svelvik KrF;7;711;Kommune;2011;86;2,9;1;2013;1 320,00;1 040,60;2 360,60
Svelvik Senterparti;7;711;Kommune;2011;165;5,5;1;2013;1 320,00;1 996,50;3 316,50
Svelvik Venstre;7;711;Kommune;2011;188;6,2;2;2013;1 320,00;2 274,80;3 594,80
Sande  Arbeiderparti;7;713;Kommune;2011;2028;48,9;13;2013;1 320,00;24 538,80;25 858,80
Sande Fremskrittsparti;7;713;Kommune;2011;561;13,5;3;2013;1 320,00;6 788,10;8 108,10
Sande Senterparti;7;713;Kommune;2011;323;7,8;2;2013;1 320,00;3 908,30;5 228,30
Sande Sv;7;713;Kommune;2011;98;2,4;0;2013;0,00;1 185,80;1 185,80
SANDE VENSTRE;7;713;Kommune;2011;269;6,5;2;2013;1 320,00;3 254,90;4 574,90
Hof Senterparti;7;714;Kommune;2011;368;23,9;4;2013;1 320,00;4 452,80;5 772,80
Hof Sv;7;714;Kommune;2011;52;3,4;0;2013;0,00;629,20;629,20
Hof Venstre;7;714;Kommune;2011;53;3,4;0;2013;0,00;641,30;641,30
Re Arbeiderparti;7;716;Kommune;2011;748;17,2;4;2013;1 320,00;9 050,80;10 370,80
Re Fremskrittsparti;7;716;Kommune;2011;626;14,4;4;2013;1 320,00;7 574,60;8 894,60
Kystpartiet i Re;7;716;Kommune;2011;28;0,6;0;2013;0,00;338,80;338,80
Høyre og Kristelig Folkeparti;7;716;Kommune;2011;996;22,9;6;2013;1 320,00;12 051,60;13 371,60
Re Senterparti;7;716;Kommune;2011;1660;38,2;9;2013;1 320,00;20 086,00;21 406,00
Re Sv;7;716;Kommune;2011;135;3,1;1;2013;1 320,00;1 633,50;2 953,50
RE VENSTRE;7;716;Kommune;2011;156;3,6;1;2013;1 320,00;1 887,60;3 207,60
Andebu  Arbeiderparti;7;719;Kommune;2011;710;28;7;2013;1 320,00;8 591,00;9 911,00
Andebu Fremskrittsparti;7;719;Kommune;2011;356;14;4;2013;1 320,00;4 307,60;5 627,60
Andebu KrF;7;719;Kommune;2011;169;6,7;2;2013;1 320,00;2 044,90;3 364,90
Andebu Senterparti;7;719;Kommune;2011;439;17,3;4;2013;1 320,00;5 311,90;6 631,90
Andebu Sv;7;719;Kommune;2011;68;2,7;0;2013;0,00;822,80;822,80
ANDEBU VENSTRE;7;719;Kommune;2011;192;7,6;2;2013;1 320,00;2 323,20;3 643,20
Stokke  Arbeiderparti;7;720;Kommune;2011;1982;36,2;11;2013;1 320,00;23 982,20;25 302,20
Stokke Fremskrittsparti;7;720;Kommune;2011;486;8,9;3;2013;1 320,00;5 880,60;7 200,60
Stokke Høyre;7;720;Kommune;2011;1961;35,9;10;2013;1 320,00;23 728,10;25 048,10
Stokke KrF;7;720;Kommune;2011;372;6,8;2;2013;1 320,00;4 501,20;5 821,20
Stokke Senterparti;7;720;Kommune;2011;241;4,4;1;2013;1 320,00;2 916,10;4 236,10
STOKKE VENSTRE;7;720;Kommune;2011;237;4,3;1;2013;1 320,00;2 867,70;4 187,70
Nøtterøy  Arbeiderparti;7;722;Kommune;2011;3051;28,1;12;2013;1 320,00;36 917,10;38 237,10
Nøtterøy Fremskrittsparti;7;722;Kommune;2011;1243;11,4;5;2013;1 320,00;15 040,30;16 360,30
Nøtterøy Høyre;7;722;Kommune;2011;4319;39,7;16;2013;1 320,00;52 259,90;53 579,90
Nøtterøy KrF;7;722;Kommune;2011;508;4,7;2;2013;1 320,00;6 146,80;7 466,80
Felleslista RV/SV;7;722;Kommune;2011;842;7,7;3;2013;1 320,00;10 188,20;11 508,20
Nøtterøy Senterparti;7;722;Kommune;2011;98;0,9;0;2013;0,00;1 185,80;1 185,80
NØTTERØY VENSTRE;7;722;Kommune;2011;599;5,5;2;2013;1 320,00;7 247,90;8 567,90
Tjøme  Arbeiderparti;7;723;Kommune;2011;831;31,8;6;2013;1 320,00;10 055,10;11 375,10
Tjøme Fremskrittsparti;7;723;Kommune;2011;513;19,6;4;2013;1 320,00;6 207,30;7 527,30
Tjøme Høyre;7;723;Kommune;2011;748;28,6;6;2013;1 320,00;9 050,80;10 370,80
Tjøme KrF;7;723;Kommune;2011;80;3,1;0;2013;0,00;968,00;968,00
Tjøme Rødt;7;723;Kommune;2011;62;2,4;0;2013;0,00;750,20;750,20
TJØME VENSTRE;7;723;Kommune;2011;218;8,3;2;2013;1 320,00;2 637,80;3 957,80
Lardal Arbeiderparti;7;728;Kommune;2011;440;33,4;5;2013;1 320,00;5 324,00;6 644,00
Lardal Fremskrittsparti;7;728;Kommune;2011;120;9,1;2;2013;1 320,00;1 452,00;2 772,00
Lardal Høyre;7;728;Kommune;2011;302;22,9;4;2013;1 320,00;3 654,20;4 974,20
KRISTELIG FOLKEPARTI;7;728;Kommune;2011;84;6,4;1;2013;1 320,00;1 016,40;2 336,40
Lardal Senterparti;7;728;Kommune;2011;285;21,6;4;2013;1 320,00;3 448,50;4 768,50
Lardal Sv;7;728;Kommune;2011;31;2,4;0;2013;0,00;375,10;375,10
LARDAL VENSTRE;7;728;Kommune;2011;57;4,3;1;2013;1 320,00;689,70;2 009,70
Telemark Arbeiderparti;8;800;Fylke;2011;29050;37,8;16;2013;48 107,00;816 305,00;864 412,00
Telemark AUF;8;800;FylkesUngdom;2011;0;0;0;2013;0,00;257 964,00;257 964,00
Telemark Fremskrittpartis Ungdom;8;800;FylkesUngdom;2011;0;0;0;2013;0,00;84 226,80;84 226,80
Telemark Fremskrittsparti;8;800;Fylke;2011;9485;12,4;5;2013;48 107,00;266 528,50;314 635,50
Telemark Unge Høyre;8;800;FylkesUngdom;2011;0;0;0;2013;0,00;151 892,40;151 892,40
Telemark Høyre;8;800;Fylke;2011;17105;22,3;10;2013;48 107,00;480 650,50;528 757,50
Telemark Kristelig Folkepartis Ungdom;8;800;FylkesUngdom;2011;0;0;0;2013;0,00;48 671,28;48 671,28
Telemark Kristelig Folkeparti;8;800;Fylke;2011;5481;7,1;3;2013;48 107,00;154 016,10;202 123,10
Telemark Kristent Samlingsparti (Ks);8;800;Fylke;2011;273;0;0;2013;0,00;7 671,30;7 671,30
Kystpartiet i Telemark;8;800;Fylke;2011;114;0,1;0;2013;0,00;3 203,40;3 203,40
Miljøpartiet De Grønne, Telemark fylke;8;800;Fylke;2011;818;1,1;0;2013;0,00;22 985,80;22 985,80
Telemark Grøn Ungdom;8;800;FylkesUngdom;2011;0;0;0;2013;0,00;7 263,84;7 263,84
Telemark Pensjonistparti;8;800;Fylke;2011;512;0,7;0;2013;0,00;14 387,20;14 387,20
Rødt Telemark;8;800;Fylke;2011;1253;1,6;0;2013;0,00;35 209,30;35 209,30
Telemark Rød Ungdom;8;800;FylkesUngdom;2011;0;0;0;2013;0,00;11 126,64;11 126,64
Telemark Senterungdom;8;800;FylkesUngdom;2011;0;0;0;2013;0,00;52 978,08;52 978,08
Telemark Senterparti;8;800;Fylke;2011;5966;7,8;3;2013;48 107,00;167 644,60;215 751,60
Telemark SU;8;800;FylkesUngdom;2011;0;0;0;2013;0,00;27 741,12;27 741,12
Telemark Sv;8;800;Fylke;2011;3124;4,1;2;2013;48 107,00;87 784,40;135 891,40
TELEMARK VENSTRE;8;800;Fylke;2011;3375;4,4;2;2013;48 107,00;94 837,50;142 944,50
TELEMARK UNGE VENSTRE;8;800;FylkesUngdom;2011;0;0;0;2013;0,00;29 970,00;29 970,00
Porsgrunn Arbeiderparti;8;805;Kommune;2011;5747;33,2;16;2013;1 320,00;69 538,70;70 858,70
Porsgrunn Fremskrittsparti;8;805;Kommune;2011;1814;10,5;5;2013;1 320,00;21 949,40;23 269,40
Porsgrunn Høyre;8;805;Kommune;2011;3317;19,2;10;2013;1 320,00;40 135,70;41 455,70
Porsgrunn KrF;8;805;Kommune;2011;839;4,9;2;2013;1 320,00;10 151,90;11 471,90
Miljøpartiet De Grønne Porsgrunn;8;805;Kommune;2011;317;1,8;1;2013;1 320,00;3 835,70;5 155,70
Porsgrunn Rødt;8;805;Kommune;2011;389;2,3;1;2013;1 320,00;4 706,90;6 026,90
Porsgrunn Senterparti;8;805;Kommune;2011;168;1;0;2013;0,00;2 032,80;2 032,80
Porsgrunn Sv;8;805;Kommune;2011;635;3,7;2;2013;1 320,00;7 683,50;9 003,50
PORSGRUNN VENSTRE;8;805;Kommune;2011;965;5,6;3;2013;1 320,00;11 676,50;12 996,50
Skien  Arbeiderparti;8;806;Kommune;2011;8938;37,4;21;2013;1 320,00;108 149,80;109 469,80
Skien Fremskrittsparti;8;806;Kommune;2011;3077;12,9;7;2013;1 320,00;37 231,70;38 551,70
Skien Høyre;8;806;Kommune;2011;6377;26,7;15;2013;1 320,00;77 161,70;78 481,70
Skien KrF;8;806;Kommune;2011;1834;7,7;4;2013;1 320,00;22 191,40;23 511,40
Miljøpartiet De Grønne Skien;8;806;Kommune;2011;201;0,8;0;2013;0,00;2 432,10;2 432,10
Rødt Skien;8;806;Kommune;2011;294;1,2;1;2013;1 320,00;3 557,40;4 877,40
Skien Senterparti;8;806;Kommune;2011;591;2,5;1;2013;1 320,00;7 151,10;8 471,10
Skien Sv;8;806;Kommune;2011;1104;4,6;3;2013;1 320,00;13 358,40;14 678,40
SKIEN VENSTRE;8;806;Kommune;2011;1225;5,1;3;2013;1 320,00;14 822,50;16 142,50
