partinamn;fylkesnr;kummunenr;partitype;stemmer;relativdel;mandat;utbetalingsar;grunnstonad;stemmestonad;totalt
Lunner Høyre;5;533;Kommuneparti;1493;33,9;9;2014;1 306,00;17 886,14;19 192,14
Lunner Senterparti;5;533;Kommuneparti;310;7;2;2014;1 306,00;3 713,80;5 019,80
Lunner Venstre;5;533;Kommuneparti;255;5,8;1;2014;1 306,00;3 054,90;4 360,90
GRAN ARBEIDERPARTI;5;534;Kommuneparti;2471;37,7;10;2014;1 306,00;29 602,58;30 908,58
GRAN FRP;5;534;Kommuneparti;564;8,6;2;2014;1 306,00;6 756,72;8 062,72
Gran Høyre;5;534;Kommuneparti;1280;19,5;5;2014;1 306,00;15 334,40;16 640,40
Gran Senterparti;5;534;Kommuneparti;792;12,1;3;2014;1 306,00;9 488,16;10 794,16
Gran Sv;5;534;Kommuneparti;179;2,7;1;2014;1 306,00;2 144,42;3 450,42
Gran Venstre;5;534;Kommuneparti;199;3;1;2014;1 306,00;2 384,02;3 690,02
Søndre Land Arbeiderparti;5;536;Kommuneparti;1239;47,5;12;2014;1 306,00;14 843,22;16 149,22
Fellesliste KrF, SP, Venstre;5;536;Kommuneparti;520;20;5;2014;1 306,00;6 229,60;7 535,60
SØNDRE LAND FRP;5;536;Kommuneparti;136;5,2;1;2014;1 306,00;1 629,28;2 935,28
Søndre Land Høyre;5;536;Kommuneparti;324;12,4;3;2014;1 306,00;3 881,52;5 187,52
Søndre Land Sv;5;536;Kommuneparti;160;6,1;2;2014;1 306,00;1 916,80;3 222,80
NORDRE LAND ARBEIDERPARTI;5;538;Kommuneparti;1631;52,8;14;2014;1 306,00;19 539,38;20 845,38
Nordre Land Fremskrittsparti;5;538;Kommuneparti;170;5,5;2;2014;1 306,00;2 036,60;3 342,60
Nordre Land Høyre;5;538;Kommuneparti;300;9,7;3;2014;1 306,00;3 594,00;4 900,00
Nordre Land KrF;5;538;Kommuneparti;93;3;1;2014;1 306,00;1 114,14;2 420,14
Nordre Land Senterparti;5;538;Kommuneparti;479;15,5;4;2014;1 306,00;5 738,42;7 044,42
Sør-Aurdal Arbeidarparti;5;540;Kommuneparti;492;30,3;8;2014;1 306,00;5 894,16;7 200,16
SØR-AURDAL FRP;5;540;Kommuneparti;164;10,1;3;2014;1 306,00;1 964,72;3 270,72
Sør-Aurdal Høyre;5;540;Kommuneparti;150;9,2;2;2014;1 306,00;1 797,00;3 103,00
Sør-Aurdal KrF;5;540;Kommuneparti;73;4,5;1;2014;1 306,00;874,54;2 180,54
Sør-Aurdal Senterparti;5;540;Kommuneparti;561;34,5;8;2014;1 306,00;6 720,78;8 026,78
Etnedal Arbeidarparti;5;541;Kommuneparti;241;35,8;5;2014;1 306,00;2 887,18;4 193,18
Etnedal Høyre;5;541;Kommuneparti;110;16,3;3;2014;1 306,00;1 317,80;2 623,80
Etnedal Senterparti;5;541;Kommuneparti;246;36,5;6;2014;1 306,00;2 947,08;4 253,08
Etnedal Venstre;5;541;Kommuneparti;58;8,6;1;2014;1 306,00;694,84;2 000,84
NORD AURDAL FREMSKRITTSPARTI;5;542;Kommuneparti;514;16,4;4;2014;1 306,00;6 157,72;7 463,72
Nord-Aurdal Høyre;5;542;Kommuneparti;467;14,9;4;2014;1 306,00;5 594,66;6 900,66
Nord-Aurdal Senterparti;5;542;Kommuneparti;452;14,4;4;2014;1 306,00;5 414,96;6 720,96
Nord-Aurdal Venstre;5;542;Kommuneparti;357;11,4;3;2014;1 306,00;4 276,86;5 582,86
Vestre Slidre Arbeiderparti;5;543;Kommuneparti;271;24;5;2014;1 306,00;3 246,58;4 552,58
Vestre Slidre Senterparti;5;543;Kommuneparti;325;28,8;6;2014;1 306,00;3 893,50;5 199,50
Øystre Slidre Arbeiderparti;5;544;Kommuneparti;661;43,5;9;2014;1 306,00;7 918,78;9 224,78
Øystre Slidre Framstegsparti;5;544;Kommuneparti;117;7,7;2;2014;1 306,00;1 401,66;2 707,66
Øystre Slidre Høgre;5;544;Kommuneparti;384;25,3;5;2014;1 306,00;4 600,32;5 906,32
Øystre Slidre Senterparti;5;544;Kommuneparti;356;23,5;5;2014;1 306,00;4 264,88;5 570,88
Vang Arbeidarparti;5;545;Kommuneparti;448;51,4;9;2014;1 306,00;5 367,04;6 673,04
Vang Høyre i Oppland;5;545;Kommuneparti;97;11,1;2;2014;1 306,00;1 162,06;2 468,06
Vang Senterparti;5;545;Kommuneparti;261;30;5;2014;1 306,00;3 126,78;4 432,78
BUSKERUD ARBEIDERPARTI;6;600;Fylkesparti;40263;34,8;15;2014;47 639,00;1 120 519,29;1 168 158,29
AUF i Buskerud;6;600;Fylkesungdomsorganisasjon;0;0;0;2014;0,00;353 911,77;353 911,77
DEMOKRATENE I NORGE BUSKERUD;6;600;Fylkesparti;269;0,2;0;2014;0,00;7 486,27;7 486,27
BUSKERUD FRP;6;600;Fylkesparti;12709;11;5;2014;47 639,00;353 691,47;401 330,47
BUSKERUD FPU;6;600;Fylkesungdomsorganisasjon;0;0;0;2014;0,00;111 712,11;111 712,11
BUSKERUD HØYRE;6;600;Fylkesparti;39166;33,9;15;2014;47 639,00;1 089 989,78;1 137 628,78
BUSKERUD UNGE HØYRE;6;600;Fylkesungdomsorganisasjon;0;0;0;2014;0,00;344 269,14;344 269,14
BUSKERUD KRISTELIG FOLKEPARTI;6;600;Fylkesparti;4037;3,5;2;2014;47 639,00;112 349,71;159 988,71
Buskerud Kristelig Folkepartis Ungdom;6;600;Fylkesungdomsorganisasjon;0;0;0;2014;0,00;35 485,23;35 485,23
MILJØPARTIET DE GRØNNE BUSKERUD;6;600;Fylkesparti;942;0,8;0;2014;0,00;26 215,86;26 215,86
Rødt Buskerud;6;600;Fylkesparti;1215;1,1;0;2014;0,00;33 813,45;33 813,45
Buskerud Rød Ungdom;6;600;Fylkesungdomsorganisasjon;0;0;0;2014;0,00;10 679,85;10 679,85
Buskerud Senterparti;6;600;Fylkesparti;7088;6,1;3;2014;47 639,00;197 259,04;244 898,04
Buskerud Senterungdom;6;600;Fylkesungdomsorganisasjon;0;0;0;2014;0,00;62 303,52;62 303,52
BUSKERUD SOSIALISTISK VENSTREPARTI;6;600;Fylkesparti;3666;3,2;1;2014;47 639,00;102 024,78;149 663,78
BUSKERUD SOSIALISTISK UNGDOM;6;600;Fylkesungdomsorganisasjon;0;0;0;2014;0,00;32 224,14;32 224,14
BUSKERUD VENSTRE;6;600;Fylkesparti;5662;4,9;2;2014;47 639,00;157 573,46;205 212,46
BUSKERUD UNGE VENSTRE;6;600;Fylkesungdomsorganisasjon;0;0;0;2014;0,00;49 768,98;49 768,98
DRAMMEN ARBEIDERPARTI;6;602;Kommuneparti;8896;29,3;15;2014;1 306,00;106 574,08;107 880,08
DRAMMEN FRP;6;602;Kommuneparti;2730;9;4;2014;1 306,00;32 705,40;34 011,40
Drammen Høyre;6;602;Kommuneparti;15045;49,6;25;2014;1 306,00;180 239,10;181 545,10
Drammen KrF;6;602;Kommuneparti;925;3;2;2014;1 306,00;11 081,50;12 387,50
MILJØPARTIET DE GRØNNE DRAMMEN;6;602;Kommuneparti;171;0,6;0;2014;0,00;2 048,58;2 048,58
Rødt Drammen;6;602;Kommuneparti;228;0,8;0;2014;0,00;2 731,44;2 731,44
Drammen Senterparti;6;602;Kommuneparti;282;0,9;0;2014;0,00;3 378,36;3 378,36
DRAMMEN SOSIALISTISK VENSTREPARTI;6;602;Kommuneparti;871;2,9;1;2014;1 306,00;10 434,58;11 740,58
Drammen Venstre;6;602;Kommuneparti;1148;3,8;2;2014;1 306,00;13 753,04;15 059,04
KONGSBERG ARBEIDERPARTI;6;604;Kommuneparti;4404;35,8;13;2014;1 306,00;52 759,92;54 065,92
KONGSBERG FRP;6;604;Kommuneparti;1133;9,2;3;2014;1 306,00;13 573,34;14 879,34
Kongsberg Høyre;6;604;Kommuneparti;2269;18,5;7;2014;1 306,00;27 182,62;28 488,62
Kongsberg KrF;6;604;Kommuneparti;549;4,5;2;2014;1 306,00;6 577,02;7 883,02
Rødt Kongsberg;6;604;Kommuneparti;232;1,9;0;2014;0,00;2 779,36;2 779,36
Kongsberg og Sandsvær Senterparti;6;604;Kommuneparti;1094;8,9;3;2014;1 306,00;13 106,12;14 412,12
KONGSBERG SOSIALISTISKE VENSTREPARTI;6;604;Kommuneparti;444;3,6;1;2014;1 306,00;5 319,12;6 625,12
Kongsberg Venstre;6;604;Kommuneparti;2169;17,6;6;2014;1 306,00;25 984,62;27 290,62
Ringerike Arbeiderparti;6;605;Kommuneparti;5058;37,4;16;2014;1 306,00;60 594,84;61 900,84
RINGERIKE FRP;6;605;Kommuneparti;1755;13;6;2014;1 306,00;21 024,90;22 330,90
RINGERIKE HØYRE;6;605;Kommuneparti;3669;27,1;11;2014;1 306,00;43 954,62;45 260,62
RINGERIKE KRISTELIG FOLKEPARTI;6;605;Kommuneparti;376;2,8;1;2014;1 306,00;4 504,48;5 810,48
SOLIDARITETSLISTA AV SV, RØDT OG UAVHENGIGE;6;605;Kommuneparti;1007;7,5;3;2014;1 306,00;12 063,86;13 369,86
Ringerike Senterparti;6;605;Kommuneparti;826;6,1;3;2014;1 306,00;9 895,48;11 201,48
Ringerike Venstre;6;605;Kommuneparti;824;6,1;3;2014;1 306,00;9 871,52;11 177,52
HOLE FRP;6;612;Kommuneparti;227;7,2;2;2014;1 306,00;2 719,46;4 025,46
HOLE HØYRE;6;612;Kommuneparti;1691;53,5;12;2014;1 306,00;20 258,18;21 564,18
Hole KrF;6;612;Kommuneparti;139;4,4;1;2014;1 306,00;1 665,22;2 971,22
Hole Senterparti;6;612;Kommuneparti;250;7,9;2;2014;1 306,00;2 995,00;4 301,00
Hole Venstre;6;612;Kommuneparti;132;4,2;1;2014;1 306,00;1 581,36;2 887,36
Flå Arbeiderparti;6;615;Kommuneparti;94;15,3;2;2014;1 306,00;1 126,12;2 432,12
FLÅ FRP;6;615;Kommuneparti;64;10,4;1;2014;1 306,00;766,72;2 072,72
Nes Arbeiderparti;6;616;Kommuneparti;389;23,2;5;2014;1 306,00;4 660,22;5 966,22
NES FRP I BUSKERUD;6;616;Kommuneparti;58;3,5;1;2014;1 306,00;694,84;2 000,84
NES HØYRE;6;616;Kommuneparti;480;28,6;6;2014;1 306,00;5 750,40;7 056,40
Nes KrF;6;616;Kommuneparti;94;5,6;1;2014;1 306,00;1 126,12;2 432,12
Nes Senterparti;6;616;Kommuneparti;354;21,1;4;2014;1 306,00;4 240,92;5 546,92
Gol Arbeidarparti;6;617;Kommuneparti;695;32,3;7;2014;1 306,00;8 326,10;9 632,10
GOL FRP;6;617;Kommuneparti;227;10,5;2;2014;1 306,00;2 719,46;4 025,46
Gol Høyre;6;617;Kommuneparti;470;21,8;4;2014;1 306,00;5 630,60;6 936,60
Gol KrF;6;617;Kommuneparti;104;4,8;1;2014;1 306,00;1 245,92;2 551,92
Gol Senterparti;6;617;Kommuneparti;289;13,4;3;2014;1 306,00;3 462,22;4 768,22
GOL VENSTRE;6;617;Kommuneparti;271;12,6;3;2014;1 306,00;3 246,58;4 552,58
Hemsedal Arbeidarparti;6;618;Kommuneparti;168;14;2;2014;1 306,00;2 012,64;3 318,64
HEMSEDAL FRP;6;618;Kommuneparti;146;12,2;2;2014;1 306,00;1 749,08;3 055,08
Hemsedal Høyre;6;618;Kommuneparti;299;25;5;2014;1 306,00;3 582,02;4 888,02
Hemsedal KrF;6;618;Kommuneparti;160;13,4;2;2014;1 306,00;1 916,80;3 222,80
HEMSEDAL SENTERPARTI;6;618;Kommuneparti;352;29,4;5;2014;1 306,00;4 216,96;5 522,96
Ål og Torpo Arbeidarparti;6;619;Kommuneparti;531;22;5;2014;1 306,00;6 361,38;7 667,38
Ål Framstegsparti;6;619;Kommuneparti;151;6,3;2;2014;1 306,00;1 808,98;3 114,98
Ål Høgre;6;619;Kommuneparti;419;17,4;4;2014;1 306,00;5 019,62;6 325,62
Ål KrF;6;619;Kommuneparti;240;10;3;2014;1 306,00;2 875,20;4 181,20
ÅL OG TORPO SENTERPARTI;6;619;Kommuneparti;578;24;6;2014;1 306,00;6 924,44;8 230,44
ÅL VENSTRE;6;619;Kommuneparti;407;16,9;4;2014;1 306,00;4 875,86;6 181,86
Hol Arbeidarparti;6;620;Kommuneparti;852;36,2;8;2014;1 306,00;10 206,96;11 512,96
HOL FRP;6;620;Kommuneparti;159;6,7;1;2014;1 306,00;1 904,82;3 210,82
Hol Høyre;6;620;Kommuneparti;905;38,4;8;2014;1 306,00;10 841,90;12 147,90
Hol KrF;6;620;Kommuneparti;109;4,6;1;2014;1 306,00;1 305,82;2 611,82
Hol Senterparti;6;620;Kommuneparti;221;9,4;2;2014;1 306,00;2 647,58;3 953,58
Hol Venstre;6;620;Kommuneparti;110;4,7;1;2014;1 306,00;1 317,80;2 623,80
Sigdal og Eggedal Arb.P.;6;621;Kommuneparti;298;16,7;3;2014;1 306,00;3 570,04;4 876,04
Sigdal Fremskrittsparti;6;621;Kommuneparti;105;5,9;1;2014;1 306,00;1 257,90;2 563,90
Sigdal/Eggedal Høyre;6;621;Kommuneparti;337;18,9;4;2014;1 306,00;4 037,26;5 343,26
Sigdal Senterparti;6;621;Kommuneparti;740;41,5;9;2014;1 306,00;8 865,20;10 171,20
Sigdal Venstre;6;621;Kommuneparti;301;16,9;4;2014;1 306,00;3 605,98;4 911,98
Krødsherad Arbeiderparti;6;622;Kommuneparti;462;40,5;7;2014;1 306,00;5 534,76;6 840,76
KRØDSHERAD FRP;6;622;Kommuneparti;26;2,3;0;2014;0,00;311,48;311,48
Krødsherad Høyre;6;622;Kommuneparti;179;15,7;3;2014;1 306,00;2 144,42;3 450,42
MODUM ARBEIDERPARTI;6;623;Kommuneparti;2377;38,7;14;2014;1 306,00;28 476,46;29 782,46
MODUM FRP;6;623;Kommuneparti;765;12,5;5;2014;1 306,00;9 164,70;10 470,70
MODUM HØYRE;6;623;Kommuneparti;934;15,2;5;2014;1 306,00;11 189,32;12 495,32
Modum KrF;6;623;Kommuneparti;226;3,7;1;2014;1 306,00;2 707,48;4 013,48
Modum Senterparti;6;623;Kommuneparti;1077;17,5;6;2014;1 306,00;12 902,46;14 208,46
Modum Venstre;6;623;Kommuneparti;184;3;1;2014;1 306,00;2 204,32;3 510,32
ØVRE EIKER ARBEIDERPARTI;6;624;Kommuneparti;2257;28,9;11;2014;1 306,00;27 038,86;28 344,86
ØVRE EIKER FRP;6;624;Kommuneparti;770;9,9;4;2014;1 306,00;9 224,60;10 530,60
ØVRE EIKER HØYRE;6;624;Kommuneparti;3287;42,1;15;2014;1 306,00;39 378,26;40 684,26
Øvre Eiker KrF;6;624;Kommuneparti;265;3,4;1;2014;1 306,00;3 174,70;4 480,70
Øvre Eiker Senterparti;6;624;Kommuneparti;747;9,6;4;2014;1 306,00;8 949,06;10 255,06
Øvre Eiker Venstre;6;624;Kommuneparti;152;1,9;1;2014;1 306,00;1 820,96;3 126,96
Nedre Eiker Arbeiderparti;6;625;Kommuneparti;4274;41,9;15;2014;1 306,00;51 202,52;52 508,52
NEDRE EIKER FRP;6;625;Kommuneparti;1292;12,7;5;2014;1 306,00;15 478,16;16 784,16
Nedre Eiker Høyre;6;625;Kommuneparti;3463;33,9;12;2014;1 306,00;41 486,74;42 792,74
NEDRE EIKER KRF;6;625;Kommuneparti;426;4,2;1;2014;1 306,00;5 103,48;6 409,48
Rødt Nedre Eiker;6;625;Kommuneparti;57;0,6;0;2014;0,00;682,86;682,86
NEDRE EIKER VENSTRE;6;625;Kommuneparti;286;2,8;1;2014;1 306,00;3 426,28;4 732,28
LIER ARBEIDERPARTI;6;626;Kommuneparti;3714;32,1;16;2014;1 306,00;44 493,72;45 799,72
LIER FREMSKRITTSPARTI;6;626;Kommuneparti;1168;10,1;5;2014;1 306,00;13 992,64;15 298,64
LIER HØYRE;6;626;Kommuneparti;4621;39,9;20;2014;1 306,00;55 359,58;56 665,58
Lier KrF;6;626;Kommuneparti;342;3;2;2014;1 306,00;4 097,16;5 403,16
Miljøpartiet De Grønne Lier;6;626;Kommuneparti;96;0,8;0;2014;0,00;1 150,08;1 150,08
Lier Senterparti;6;626;Kommuneparti;562;4,9;2;2014;1 306,00;6 732,76;8 038,76
LIER VENSTRE;6;626;Kommuneparti;470;4,1;2;2014;1 306,00;5 630,60;6 936,60
Røyken Arbeiderparti;6;627;Kommuneparti;2738;29,5;8;2014;1 306,00;32 801,24;34 107,24
RØYKEN FRP;6;627;Kommuneparti;1039;11,2;3;2014;1 306,00;12 447,22;13 753,22
RØYKEN HØYRE;6;627;Kommuneparti;4061;43,8;13;2014;1 306,00;48 650,78;49 956,78
Røyken KrF;6;627;Kommuneparti;212;2,3;0;2014;0,00;2 539,76;2 539,76
RØYKEN LOKALLAG MILJØPARTIET DE;6;627;Kommuneparti;92;1;0;2014;0,00;1 102,16;1 102,16
Rødt Røyken;6;627;Kommuneparti;107;1,2;0;2014;0,00;1 281,86;1 281,86
Røyken Venstre;6;627;Kommuneparti;573;6,2;2;2014;1 306,00;6 864,54;8 170,54
Hurum Arbeiderparti;6;628;Kommuneparti;1376;30;9;2014;1 306,00;16 484,48;17 790,48
HURUM FRP;6;628;Kommuneparti;430;9,4;3;2014;1 306,00;5 151,40;6 457,40
HURUM HØYRE;6;628;Kommuneparti;1868;40,8;12;2014;1 306,00;22 378,64;23 684,64
Hurum KrF;6;628;Kommuneparti;132;2,9;1;2014;1 306,00;1 581,36;2 887,36
Hurum Senterparti;6;628;Kommuneparti;176;3,8;1;2014;1 306,00;2 108,48;3 414,48
Hurum Venstre;6;628;Kommuneparti;338;7,4;2;2014;1 306,00;4 049,24;5 355,24
Flesberg Arbeiderparti;6;631;Kommuneparti;281;20,8;4;2014;1 306,00;3 366,38;4 672,38
FLESBERG FRP;6;631;Kommuneparti;290;21,5;5;2014;1 306,00;3 474,20;4 780,20
Flesberg Høyre;6;631;Kommuneparti;470;34,8;7;2014;1 306,00;5 630,60;6 936,60
Flesberg Senterparti;6;631;Kommuneparti;263;19,5;4;2014;1 306,00;3 150,74;4 456,74
FLESBERG VENSTRE;6;631;Kommuneparti;46;3,4;1;2014;1 306,00;551,08;1 857,08
Rollag og Veggli Arbeiderparti;6;632;Kommuneparti;290;38,8;7;2014;1 306,00;3 474,20;4 780,20
Rollag og Veggli Høyre;6;632;Kommuneparti;192;25,7;4;2014;1 306,00;2 300,16;3 606,16
Rollag KrF;6;632;Kommuneparti;49;6,6;1;2014;1 306,00;587,02;1 893,02
Rollag og Veggli Senterparti;6;632;Kommuneparti;216;28,9;5;2014;1 306,00;2 587,68;3 893,68
Nore og Uvdal Arbeiderparti;6;633;Kommuneparti;436;32,6;8;2014;1 306,00;5 223,28;6 529,28
NORE OG UVDAL FRP;6;633;Kommuneparti;175;13,1;3;2014;1 306,00;2 096,50;3 402,50
Nore/Uvdal Høyre;6;633;Kommuneparti;253;18,9;4;2014;1 306,00;3 030,94;4 336,94
Nore og Uvdal Senterparti;6;633;Kommuneparti;422;31,6;7;2014;1 306,00;5 055,56;6 361,56
VESTFOLD ARBEIDERPARTI;7;700;Fylkesparti;33823;31,9;13;2014;47 639,00;941 294,09;988 933,09
AUF i Vestfold;7;700;Fylkesungdomsorganisasjon;0;0;0;2014;0,00;297 304,17;297 304,17
VESTFOLD FRP;7;700;Fylkesparti;13482;12,7;5;2014;47 639,00;375 204,06;422 843,06
VESTFOLD FREMSKRITTSPARTIETS UNGDOM;7;700;Fylkesungdomsorganisasjon;0;0;0;2014;0,00;118 506,78;118 506,78
VESTFOLD HØYRE;7;700;Fylkesparti;35620;33,6;14;2014;47 639,00;991 304,60;1 038 943,60
VESTFOLD UNGE HØYRE;7;700;Fylkesungdomsorganisasjon;0;0;0;2014;0,00;313 099,80;313 099,80
VESTFOLD KRISTLIG FOLKEPARTI;7;700;Fylkesparti;5325;5;2;2014;47 639,00;148 194,75;195 833,75
Vestfold Kristelig Folkepartis Ungdom;7;700;Fylkesungdomsorganisasjon;0;0;0;2014;0,00;46 806,75;46 806,75
Vestfold Kristent Samlingsparti;7;700;Fylkesparti;399;0;0;2014;0,00;11 104,17;11 104,17
KYSTPARTIET I VESTFOLD;7;700;Fylkesparti;258;0,2;0;2014;0,00;7 180,14;7 180,14
MILJØPARTIET DE GRØNNE VESTFOLD;7;700;Fylkesparti;1134;1,1;0;2014;0,00;31 559,22;31 559,22
Grønn Ungdom Vestfold;7;700;Fylkesungdomsorganisasjon;0;0;0;2014;0,00;9 967,86;9 967,86
Rødt Vestfold;7;700;Fylkesparti;1501;1,4;0;2014;0,00;41 772,83;41 772,83
Vestfold Rød Ungdom;7;700;Fylkesungdomsorganisasjon;0;0;0;2014;0,00;13 193,79;13 193,79
VESTFOLD SENTERPARTI;7;700;Fylkesparti;3953;3,7;1;2014;47 639,00;110 011,99;157 650,99
Vestfold Senterungdom;7;700;Fylkesungdomsorganisasjon;0;0;0;2014;0,00;34 746,87;34 746,87
VESTFOLD SOSIALISTISK VENSTREPARTI;7;700;Fylkesparti;4022;3,8;2;2014;47 639,00;111 932,26;159 571,26
Vestfold SU;7;700;Fylkesungdomsorganisasjon;0;0;0;2014;0,00;35 353,38;35 353,38
VESTFOLD VENSTRE;7;700;Fylkesparti;4604;4,3;2;2014;47 639,00;128 129,32;175 768,32
HORTEN ARBEIDERPARTI;7;701;Kommuneparti;4646;35,4;15;2014;1 306,00;55 659,08;56 965,08
HORTEN FRP;7;701;Kommuneparti;1005;7,7;3;2014;1 306,00;12 039,90;13 345,90
Horten og Borre Høyre;7;701;Kommuneparti;5031;38,3;16;2014;1 306,00;60 271,38;61 577,38
Horten KrF;7;701;Kommuneparti;363;2,8;1;2014;1 306,00;4 348,74;5 654,74
Kristent Samlingsparti Horten;7;701;Kommuneparti;55;0,4;0;2014;0,00;658,90;658,90
Borre og Horten Senterparti;7;701;Kommuneparti;341;2,6;1;2014;1 306,00;4 085,18;5 391,18
Horten Sv;7;701;Kommuneparti;405;3,1;1;2014;1 306,00;4 851,90;6 157,90
Horten Venstre;7;701;Kommuneparti;653;5;2;2014;1 306,00;7 822,94;9 128,94
Holmestrand Arbeiderparti;7;702;Kommuneparti;1466;29,2;8;2014;1 306,00;17 562,68;18 868,68
HOLMESTRAND FRP;7;702;Kommuneparti;296;5,9;2;2014;1 306,00;3 546,08;4 852,08
HOLMESTRAND HØYRE;7;702;Kommuneparti;2310;46;12;2014;1 306,00;27 673,80;28 979,80
Holmestrand KrF;7;702;Kommuneparti;229;4,6;1;2014;1 306,00;2 743,42;4 049,42
Holmestrand Senterparti;7;702;Kommuneparti;307;6,1;2;2014;1 306,00;3 677,86;4 983,86
Holmestrand Sv;7;702;Kommuneparti;253;5;1;2014;1 306,00;3 030,94;4 336,94
Holmestrand Venstre;7;702;Kommuneparti;157;3,1;1;2014;1 306,00;1 880,86;3 186,86
TØNSBERG ARBEIDERPARTI;7;704;Kommuneparti;6363;32,5;13;2014;1 306,00;76 228,74;77 534,74
TØNSBERG FRP;7;704;Kommuneparti;1955;10;4;2014;1 306,00;23 420,90;24 726,90
TØNSBERG HØYRE;7;704;Kommuneparti;7233;37;15;2014;1 306,00;86 651,34;87 957,34
TØNSBERG KRISTELIG FOLKEPARTI;7;704;Kommuneparti;979;5;2;2014;1 306,00;11 728,42;13 034,42
MILJØPARTIET DE GRØNNE, TØNSBERG;7;704;Kommuneparti;137;0,7;0;2014;0,00;1 641,26;1 641,26
Rødt Tønsberg;7;704;Kommuneparti;125;0,6;0;2014;0,00;1 497,50;1 497,50
Tønsberg/Sem Senterparti;7;704;Kommuneparti;446;2,3;1;2014;1 306,00;5 343,08;6 649,08
TØNSBERG SV;7;704;Kommuneparti;1035;5,3;2;2014;1 306,00;12 399,30;13 705,30
TØNSBERG VENSTRE;7;704;Kommuneparti;936;4,8;2;2014;1 306,00;11 213,28;12 519,28
SANDEFJORD ARBEIDERPARTI;7;706;Kommuneparti;4650;22,5;9;2014;1 306,00;55 707,00;57 013,00
SANDEFJORD FRP;7;706;Kommuneparti;2474;12;5;2014;1 306,00;29 638,52;30 944,52
SANDEFJORD HØYRE;7;706;Kommuneparti;9878;47,9;18;2014;1 306,00;118 338,44;119 644,44
SANDEFJORD KRISTELIG FOLKEPARTI;7;706;Kommuneparti;827;4;2;2014;1 306,00;9 907,46;11 213,46
Miljøpartiet De Grønne Sandefjord;7;706;Kommuneparti;206;1;0;2014;0,00;2 467,88;2 467,88
SANDEFJORD PENSJONISTPARTI;7;706;Kommuneparti;416;2;1;2014;1 306,00;4 983,68;6 289,68
Sandefjord Senterparti;7;706;Kommuneparti;231;1,1;0;2014;0,00;2 767,38;2 767,38
SANDEFJORD SV;7;706;Kommuneparti;861;4,2;2;2014;1 306,00;10 314,78;11 620,78
SANDEFJORDS VENSTRE;7;706;Kommuneparti;933;4,5;2;2014;1 306,00;11 177,34;12 483,34
LARVIK ARBEIDERPARTI;7;709;Kommuneparti;7896;38,5;14;2014;1 306,00;94 594,08;95 900,08
LARVIK FRP;7;709;Kommuneparti;4340;21,2;8;2014;1 306,00;51 993,20;53 299,20
LARVIK HØYRE;7;709;Kommuneparti;3620;17,6;6;2014;1 306,00;43 367,60;44 673,60
Larvik KrF;7;709;Kommuneparti;1268;6,2;2;2014;1 306,00;15 190,64;16 496,64
Rødt Larvik;7;709;Kommuneparti;232;1,1;0;2014;0,00;2 779,36;2 779,36
Larvik Senterparti;7;709;Kommuneparti;670;3,3;1;2014;1 306,00;8 026,60;9 332,60
Larvik Sv;7;709;Kommuneparti;552;2,7;1;2014;1 306,00;6 612,96;7 918,96
LARVIK VENSTRE;7;709;Kommuneparti;1555;7,6;3;2014;1 306,00;18 628,90;19 934,90
Svelvik Arbeiderparti;7;711;Kommuneparti;1370;45,5;11;2014;1 306,00;16 412,60;17 718,60
SVELVIK FRP;7;711;Kommuneparti;413;13,7;3;2014;1 306,00;4 947,74;6 253,74
Svelvik Høyre;7;711;Kommuneparti;787;26,2;7;2014;1 306,00;9 428,26;10 734,26
Svelvik KrF;7;711;Kommuneparti;86;2,9;1;2014;1 306,00;1 030,28;2 336,28
Svelvik Senterparti;7;711;Kommuneparti;165;5,5;1;2014;1 306,00;1 976,70;3 282,70
SVELVIK VENSTRE;7;711;Kommuneparti;188;6,2;2;2014;1 306,00;2 252,24;3 558,24
SANDE FREMSKRITTSPARTI;7;713;Kommuneparti;561;13,5;3;2014;1 306,00;6 720,78;8 026,78
SANDE HØYRE;7;713;Kommuneparti;693;16,7;4;2014;1 306,00;8 302,14;9 608,14
Sande KrF (Vestfold);7;713;Kommuneparti;176;4,2;1;2014;1 306,00;2 108,48;3 414,48
Sande Senterparti;7;713;Kommuneparti;323;7,8;2;2014;1 306,00;3 869,54;5 175,54
Sande Sv;7;713;Kommuneparti;98;2,4;0;2014;0,00;1 174,04;1 174,04
SANDE VENSTRE;7;713;Kommuneparti;269;6,5;2;2014;1 306,00;3 222,62;4 528,62
Hof Arbeiderparti;7;714;Kommuneparti;338;21,9;4;2014;1 306,00;4 049,24;5 355,24
Hof Høyre;7;714;Kommuneparti;730;47,4;9;2014;1 306,00;8 745,40;10 051,40
Hof Senterparti;7;714;Kommuneparti;368;23,9;4;2014;1 306,00;4 408,64;5 714,64
Hof Sv;7;714;Kommuneparti;52;3,4;0;2014;0,00;622,96;622,96
Hof Venstre;7;714;Kommuneparti;53;3,4;0;2014;0,00;634,94;634,94
RE ARBEIDERPARTI;7;716;Kommuneparti;748;17,2;4;2014;1 306,00;8 961,04;10 267,04
RE FRP;7;716;Kommuneparti;626;14,4;4;2014;1 306,00;7 499,48;8 805,48
Høyre og Kristelig Folkeparti;7;716;Kommuneparti;996;22,9;6;2014;1 306,00;11 932,08;13 238,08
