partinamn,fylkesnr,kummunenr,partitype,stemmer,relativdel,mandat,utbetalingsar,grunnstonad,stemmestonad,totalt
Rælingen Senterparti,2,228,Kommuneparti,114,"1,5",0,2014,"0,00","1 365,72","1 365,72"
Rælingen Sv,2,228,Kommuneparti,221,3,1,2014,"1 306,00","2 647,58","3 953,58"
Rælingen Venstre,2,228,Kommuneparti,260,"3,5",1,2014,"1 306,00","3 114,80","4 420,80"
ENEBAKK ARBEIDERPARTI,2,229,Kommuneparti,1234,"25,8",7,2014,"1 306,00","14 783,32","16 089,32"
Enebakk Fremskrittsparti,2,229,Kommuneparti,1090,"22,8",6,2014,"1 306,00","13 058,20","14 364,20"
Enebakk Høyre,2,229,Kommuneparti,1325,"27,7",8,2014,"1 306,00","15 873,50","17 179,50"
Enebakk KrF,2,229,Kommuneparti,201,"4,2",1,2014,"1 306,00","2 407,98","3 713,98"
Enebakk Senterparti,2,229,Kommuneparti,531,"11,1",3,2014,"1 306,00","6 361,38","7 667,38"
Enebakk SV,2,229,Kommuneparti,256,"5,3",1,2014,"1 306,00","3 066,88","4 372,88"
ENEBAKK VENSTRE,2,229,Kommuneparti,154,"3,2",1,2014,"1 306,00","1 844,92","3 150,92"
LØRENSKOG ARBEIDERPARTI,2,230,Kommuneparti,7315,44,21,2014,"1 306,00","87 633,70","88 939,70"
LØRENSKOG FRP,2,230,Kommuneparti,1894,"11,4",5,2014,"1 306,00","22 690,12","23 996,12"
Lørenskog Høyre,2,230,Kommuneparti,4886,"29,4",14,2014,"1 306,00","58 534,28","59 840,28"
Lørenskog KrF,2,230,Kommuneparti,517,"3,1",2,2014,"1 306,00","6 193,66","7 499,66"
Lørenskog Senterparti,2,230,Kommuneparti,157,"0,9",0,2014,"0,00","1 880,86","1 880,86"
LØRENSKOG SOSIALISTISKE VENSTREPARTI,2,230,Kommuneparti,523,"3,1",2,2014,"1 306,00","6 265,54","7 571,54"
Lørenskog Venstre,2,230,Kommuneparti,751,"4,5",2,2014,"1 306,00","8 996,98","10 302,98"
SKEDSMO ARBEIDERPARTI,2,231,Kommuneparti,9261,"39,9",19,2014,"1 306,00","110 946,78","112 252,78"
SKEDSMO FREMSKRITTSPARTI,2,231,Kommuneparti,2732,"11,8",5,2014,"1 306,00","32 729,36","34 035,36"
SKEDSMO HØYRE,2,231,Kommuneparti,7047,"30,4",14,2014,"1 306,00","84 423,06","85 729,06"
Skedsmo KrF,2,231,Kommuneparti,571,"2,5",1,2014,"1 306,00","6 840,58","8 146,58"
Miljøpartiet De Grønne Skedsmo,2,231,Kommuneparti,127,"0,5",0,2014,"0,00","1 521,46","1 521,46"
Skedsmo Pensjonistparti,2,231,Kommuneparti,368,"1,6",1,2014,"1 306,00","4 408,64","5 714,64"
Skedsmo Senterparti,2,231,Kommuneparti,371,"1,6",1,2014,"1 306,00","4 444,58","5 750,58"
SKEDSMO SOSIALISTISK VENSTREPARTI,2,231,Kommuneparti,814,"3,5",2,2014,"1 306,00","9 751,72","11 057,72"
Skedsmo Venstre,2,231,Kommuneparti,830,"3,6",2,2014,"1 306,00","9 943,40","11 249,40"
Nittedal Arbeiderparti,2,233,Kommuneparti,3574,"34,4",10,2014,"1 306,00","42 816,52","44 122,52"
NITTEDAL FREMSKRITTSPARTI,2,233,Kommuneparti,1451,14,4,2014,"1 306,00","17 382,98","18 688,98"
Nittedal Høyre,2,233,Kommuneparti,3361,"32,3",9,2014,"1 306,00","40 264,78","41 570,78"
Nittedal KrF,2,233,Kommuneparti,254,"2,4",1,2014,"1 306,00","3 042,92","4 348,92"
Rødt Nittedal,2,233,Kommuneparti,113,"1,1",0,2014,"0,00","1 353,74","1 353,74"
Nittedal Senterparti,2,233,Kommuneparti,356,"3,4",1,2014,"1 306,00","4 264,88","5 570,88"
Nittedal Sv,2,233,Kommuneparti,285,"2,7",1,2014,"1 306,00","3 414,30","4 720,30"
Nittedal Venstre,2,233,Kommuneparti,1007,"9,7",3,2014,"1 306,00","12 063,86","13 369,86"
Gjerdrum Arbeiderparti,2,234,Kommuneparti,989,"33,4",9,2014,"1 306,00","11 848,22","13 154,22"
GJERDRUM FRP,2,234,Kommuneparti,287,"9,7",2,2014,"1 306,00","3 438,26","4 744,26"
Gjerdrum Høyre,2,234,Kommuneparti,850,"28,7",7,2014,"1 306,00","10 183,00","11 489,00"
Gjerdrum KrF,2,234,Kommuneparti,154,"5,2",1,2014,"1 306,00","1 844,92","3 150,92"
Gjerdrum Senterparti,2,234,Kommuneparti,264,"8,9",2,2014,"1 306,00","3 162,72","4 468,72"
Gjerdrum SV,2,234,Kommuneparti,77,"2,6",1,2014,"1 306,00","922,46","2 228,46"
Gjerdrum Venstre,2,234,Kommuneparti,337,"11,4",3,2014,"1 306,00","4 037,26","5 343,26"
ULLENSAKER ARBEIDERPARTI,2,235,Kommuneparti,4294,"31,7",15,2014,"1 306,00","51 442,12","52 748,12"
ULLENSAKER FRP,2,235,Kommuneparti,4874,36,17,2014,"1 306,00","58 390,52","59 696,52"
Ullensaker Høyre,2,235,Kommuneparti,2464,"18,2",8,2014,"1 306,00","29 518,72","30 824,72"
Ullensaker KrF,2,235,Kommuneparti,318,"2,3",1,2014,"1 306,00","3 809,64","5 115,64"
Rødt Ullensaker,2,235,Kommuneparti,99,"0,7",0,2014,"0,00","1 186,02","1 186,02"
Ullensaker Senterparti,2,235,Kommuneparti,621,"4,6",2,2014,"1 306,00","7 439,58","8 745,58"
Ullensaker SV,2,235,Kommuneparti,299,"2,2",1,2014,"1 306,00","3 582,02","4 888,02"
Ullensaker Venstre,2,235,Kommuneparti,419,"3,1",1,2014,"1 306,00","5 019,62","6 325,62"
NES ARBEIDERPARTI,2,236,Kommuneparti,3096,"35,3",13,2014,"1 306,00","37 090,08","38 396,08"
NES FRP,2,236,Kommuneparti,1774,"20,2",7,2014,"1 306,00","21 252,52","22 558,52"
Nes Høyre i Akershus,2,236,Kommuneparti,1820,"20,8",7,2014,"1 306,00","21 803,60","23 109,60"
Nes KrF,2,236,Kommuneparti,328,"3,7",1,2014,"1 306,00","3 929,44","5 235,44"
Nes Senterparti,2,236,Kommuneparti,853,"9,7",4,2014,"1 306,00","10 218,94","11 524,94"
Nes Sv,2,236,Kommuneparti,286,"3,3",1,2014,"1 306,00","3 426,28","4 732,28"
Nes Venstre,2,236,Kommuneparti,533,"6,1",2,2014,"1 306,00","6 385,34","7 691,34"
Eidsvoll Arbeiderparti,2,237,Kommuneparti,3439,36,13,2014,"1 306,00","41 199,22","42 505,22"
EIDSVOLL FREMSKRITTSPARTI,2,237,Kommuneparti,1416,"14,8",5,2014,"1 306,00","16 963,68","18 269,68"
Eidsvoll Høyre,2,237,Kommuneparti,2448,"25,6",9,2014,"1 306,00","29 327,04","30 633,04"
Eidsvoll KrF,2,237,Kommuneparti,349,"3,7",1,2014,"1 306,00","4 181,02","5 487,02"
Eidsvoll Senterparti,2,237,Kommuneparti,729,"7,6",3,2014,"1 306,00","8 733,42","10 039,42"
Eidsvoll SV,2,237,Kommuneparti,438,"4,6",2,2014,"1 306,00","5 247,24","6 553,24"
Eidsvoll Venstre,2,237,Kommuneparti,306,"3,2",1,2014,"1 306,00","3 665,88","4 971,88"
NANNESTAD ARBEIDERPARTI,2,238,Kommuneparti,1720,"34,1",11,2014,"1 306,00","20 605,60","21 911,60"
NANNESTAD FRP,2,238,Kommuneparti,1014,"20,1",6,2014,"1 306,00","12 147,72","13 453,72"
Nannestad Høyre,2,238,Kommuneparti,1109,22,7,2014,"1 306,00","13 285,82","14 591,82"
Nannestad KrF,2,238,Kommuneparti,213,"4,2",1,2014,"1 306,00","2 551,74","3 857,74"
Nannestad Senterparti,2,238,Kommuneparti,360,"7,1",2,2014,"1 306,00","4 312,80","5 618,80"
Nannestad SV,2,238,Kommuneparti,149,3,1,2014,"1 306,00","1 785,02","3 091,02"
Nannestad Venstre,2,238,Kommuneparti,476,"9,4",3,2014,"1 306,00","5 702,48","7 008,48"
HURDAL ARBEIDERPARTI,2,239,Kommuneparti,321,"23,5",4,2014,"1 306,00","3 845,58","5 151,58"
Hurdal Fremskrittsparti,2,239,Kommuneparti,227,"16,6",3,2014,"1 306,00","2 719,46","4 025,46"
Hurdal Høyre,2,239,Kommuneparti,119,"8,7",2,2014,"1 306,00","1 425,62","2 731,62"
Hurdal KrF,2,239,Kommuneparti,118,"8,7",1,2014,"1 306,00","1 413,64","2 719,64"
Hurdal Senterparti,2,239,Kommuneparti,88,"6,5",1,2014,"1 306,00","1 054,24","2 360,24"
Hurdal Sv,2,239,Kommuneparti,43,"3,2",0,2014,"0,00","515,14","515,14"
Hurdal Venstre,2,239,Kommuneparti,448,"32,8",6,2014,"1 306,00","5 367,04","6 673,04"
OSLO ARBEIDERPARTI,3,300,Fylkesparti,102707,"33,1",20,2014,"48 945,00","4 088 765,67","4 137 710,67"
AUF i Oslo,3,300,Fylkesungdomsorganisasjon,0,0,0,2014,"0,00","902 794,53","902 794,53"
OSLO FRP,3,300,Fylkesparti,21852,7,4,2014,"48 945,00","869 928,12","918 873,12"
OSLO FREMSKRITTSPARTIS UNGDOM,3,300,Fylkesungdomsorganisasjon,0,0,0,2014,"0,00","192 079,08","192 079,08"
OSLO GRØNN UNGDOM,3,300,Fylkesungdomsorganisasjon,0,0,0,2014,"0,00","67 269,87","67 269,87"
OSLO HØYRE,3,300,Fylkesparti,110776,"35,7",22,2014,"48 945,00","4 409 992,56","4 458 937,56"
OSLO UNGE HØYRE,3,300,Fylkesungdomsorganisasjon,0,0,0,2014,"0,00","973 721,04","973 721,04"
OSLO KRISTELIG FOLKEPARTI,3,300,Fylkesparti,7571,"2,4",1,2014,"48 945,00","301 401,51","350 346,51"
Oslo Kristelig Folkepartis Ungdom,3,300,Fylkesungdomsorganisasjon,0,0,0,2014,"0,00","66 549,09","66 549,09"
Oslo Kristent Samlingsparti,3,300,Fylkesparti,235,"0,1",0,2014,"0,00","9 355,35","9 355,35"
KYSTPARTIET I OSLO,3,300,Fylkesparti,126,0,0,2014,"0,00","5 016,06","5 016,06"
OSLO MILJØPARTIET DE GRØNNE,3,300,Fylkesparti,7653,"2,5",1,2014,"48 945,00","304 665,93","353 610,93"
OSLO PENSJONISTPARTI,3,300,Fylkesparti,1045,"0,3",0,2014,"0,00","41 601,45","41 601,45"
Rødt Oslo,3,300,Fylkesparti,11257,"3,6",2,2014,"48 945,00","448 141,17","497 086,17"
Oslo Rød Ungdom,3,300,Fylkesungdomsorganisasjon,0,0,0,2014,"0,00","98 949,03","98 949,03"
OSLO SENTERPARTI,3,300,Fylkesparti,1591,"0,5",0,2014,"0,00","63 337,71","63 337,71"
OSLO SENTERUNGDOM,3,300,Fylkesungdomsorganisasjon,0,0,0,2014,"0,00","13 984,89","13 984,89"
OSLO SOSIALISTISK VENSTREPARTI,3,300,Fylkesparti,19477,"6,3",4,2014,"48 945,00","775 379,37","824 324,37"
OSLO SOSIALISTISK UNGDOM,3,300,Fylkesungdomsorganisasjon,0,0,0,2014,"0,00","171 202,83","171 202,83"
OSLO VENSTRE,3,300,Fylkesparti,25351,"8,2",5,2014,"48 945,00","1 009 223,31","1 058 168,31"
OSLO UNGE VENSTRE,3,300,Fylkesungdomsorganisasjon,0,0,0,2014,"0,00","222 835,29","222 835,29"
Hedmark Arbeiderparti,4,400,Fylkesparti,39005,"45,9",15,2014,"47 639,00","1 085 509,15","1 133 148,15"
AUF i Hedmark,4,400,Fylkesungdomsorganisasjon,0,0,0,2014,"0,00","342 853,95","342 853,95"
Hedmark FrP,4,400,Fylkesparti,7119,"8,4",3,2014,"47 639,00","198 121,77","245 760,77"
HEDMARK FREMSKRITTSPARTIETS UNGDOM,4,400,Fylkesungdomsorganisasjon,0,0,0,2014,"0,00","62 576,01","62 576,01"
Hedmark Høyre,4,400,Fylkesparti,14463,17,6,2014,"47 639,00","402 505,29","450 144,29"
Hedmark Unge Høyre,4,400,Fylkesungdomsorganisasjon,0,0,0,2014,"0,00","127 129,77","127 129,77"
HEDMARK KRISTELIG FOLKEPARTI,4,400,Fylkesparti,2677,"3,2",1,2014,"47 639,00","74 500,91","122 139,91"
Hedmark Kristelig Folkepartis Ungdom,4,400,Fylkesungdomsorganisasjon,0,0,0,2014,"0,00","23 530,83","23 530,83"
KYSTPARTIET I HEDMARK,4,400,Fylkesparti,89,"0,1",0,2014,"0,00","2 476,87","2 476,87"
MILJØPARTIET DE GRØNNE HEDMARK,4,400,Fylkesparti,890,1,0,2014,"0,00","24 768,70","24 768,70"
PENSJONISTPARTIET HEDMARK,4,400,Fylkesparti,2736,"3,2",1,2014,"47 639,00","76 142,88","123 781,88"
Rødt Hedmark,4,400,Fylkesparti,691,"0,8",0,2014,"0,00","19 230,53","19 230,53"
Hedmark Rød Ungdom,4,400,Fylkesungdomsorganisasjon,0,0,0,2014,"0,00","6 073,89","6 073,89"
Hedmark Senterparti,4,400,Fylkesparti,9376,11,4,2014,"47 639,00","260 934,08","308 573,08"
Hedmark Senterungdom,4,400,Fylkesungdomsorganisasjon,0,0,0,2014,"0,00","82 415,04","82 415,04"
HEDMARK SOSIALISTISK VENSTREPARTI,4,400,Fylkesparti,3751,"4,4",1,2014,"47 639,00","104 390,33","152 029,33"
Hedmark SU,4,400,Fylkesungdomsorganisasjon,0,0,0,2014,"0,00","32 971,29","32 971,29"
HEDMARK VENSTRE,4,400,Fylkesparti,3910,"4,6",2,2014,"47 639,00","108 815,30","156 454,30"
HEDMARK UNGE VENSTRE,4,400,Fylkesungdomsorganisasjon,0,0,0,2014,"0,00","34 368,90","34 368,90"
KONGSVINGER ARBEIDERPARTI,4,402,Kommuneparti,2791,"35,6",11,2014,"1 306,00","33 436,18","34 742,18"
KONGSVINGER FRP,4,402,Kommuneparti,1131,"14,4",5,2014,"1 306,00","13 549,38","14 855,38"
KONGSVINGER HØYRE,4,402,Kommuneparti,1407,"17,9",6,2014,"1 306,00","16 855,86","18 161,86"
KONGSVINGER KRISTELIG FOLKEPARTI,4,402,Kommuneparti,190,"2,4",1,2014,"1 306,00","2 276,20","3 582,20"
KONGSVINGER PENSJONISTPARTI,4,402,Kommuneparti,1156,"14,7",5,2014,"1 306,00","13 848,88","15 154,88"
Kongsvinger Senterparti,4,402,Kommuneparti,401,"5,1",2,2014,"1 306,00","4 803,98","6 109,98"
Kongsvinger SV,4,402,Kommuneparti,339,"4,3",1,2014,"1 306,00","4 061,22","5 367,22"
Kongsvinger Venstre,4,402,Kommuneparti,428,"5,5",2,2014,"1 306,00","5 127,44","6 433,44"
HAMAR ARBEIDERPARTI,4,403,Kommuneparti,5846,"37,1",15,2014,"1 306,00","70 035,08","71 341,08"
HAMAR FREMSKRITTSPARTI,4,403,Kommuneparti,633,4,2,2014,"1 306,00","7 583,34","8 889,34"
Hamar Høyre,4,403,Kommuneparti,2977,"18,9",7,2014,"1 306,00","35 664,46","36 970,46"
Hamar KrF,4,403,Kommuneparti,897,"5,7",2,2014,"1 306,00","10 746,06","12 052,06"
HAMAR RINGSAKER MILJØPARTIET DE GRØN,4,403,Kommuneparti,173,"1,1",0,2014,"0,00","2 072,54","2 072,54"
PENSJONISTPARTIET HAMAR,4,403,Kommuneparti,697,"4,4",2,2014,"1 306,00","8 350,06","9 656,06"
Rødt Hamar,4,403,Kommuneparti,133,"0,8",0,2014,"0,00","1 593,34","1 593,34"
Hamar Senterparti,4,403,Kommuneparti,281,"1,8",1,2014,"1 306,00","3 366,38","4 672,38"
HAMAR SV,4,403,Kommuneparti,570,"3,6",1,2014,"1 306,00","6 828,60","8 134,60"
HAMAR VENSTRE,4,403,Kommuneparti,699,"4,4",2,2014,"1 306,00","8 374,02","9 680,02"
RINGSAKER ARBEIDERPARTI,4,412,Kommuneparti,7610,"50,4",21,2014,"1 306,00","91 167,80","92 473,80"
RINGSAKER FRP,4,412,Kommuneparti,873,"5,8",2,2014,"1 306,00","10 458,54","11 764,54"
Ringsaker Høyre,4,412,Kommuneparti,2105,"13,9",6,2014,"1 306,00","25 217,90","26 523,90"
Ringsaker KrF,4,412,Kommuneparti,411,"2,7",1,2014,"1 306,00","4 923,78","6 229,78"
MILJØPARTIET DE GRØNNE RINGSAKER,4,412,Kommuneparti,157,1,0,2014,"0,00","1 880,86","1 880,86"
RINGSAKER PENSJONISTPARTI,4,412,Kommuneparti,338,"2,2",1,2014,"1 306,00","4 049,24","5 355,24"
Ringsaker Senterparti,4,412,Kommuneparti,1168,"7,7",3,2014,"1 306,00","13 992,64","15 298,64"
Ringsaker SV,4,412,Kommuneparti,417,"2,8",1,2014,"1 306,00","4 995,66","6 301,66"
RINGSAKER VENSTRE,4,412,Kommuneparti,759,5,2,2014,"1 306,00","9 092,82","10 398,82"
LØTEN ARBEIDERPARTI,4,415,Kommuneparti,1889,54,13,2014,"1 306,00","22 630,22","23 936,22"
LØTEN FRP,4,415,Kommuneparti,287,"8,2",2,2014,"1 306,00","3 438,26","4 744,26"
Løten Høyre,4,415,Kommuneparti,422,"12,1",3,2014,"1 306,00","5 055,56","6 361,56"
Løten KrF,4,415,Kommuneparti,134,"3,8",1,2014,"1 306,00","1 605,32","2 911,32"
Løten Senterparti,4,415,Kommuneparti,523,15,4,2014,"1 306,00","6 265,54","7 571,54"
LØTEN SOSIALISTISKE VENSTREPARTI,4,415,Kommuneparti,130,"3,7",1,2014,"1 306,00","1 557,40","2 863,40"
Løten Venstre,4,415,Kommuneparti,110,"3,1",1,2014,"1 306,00","1 317,80","2 623,80"
STANGE ARBEIDERPARTI,4,417,Kommuneparti,5067,"52,6",18,2014,"1 306,00","60 702,66","62 008,66"
STANGE FREMSKRITTSPARTI,4,417,Kommuneparti,694,"7,2",3,2014,"1 306,00","8 314,12","9 620,12"
Stange Høyre,4,417,Kommuneparti,1124,"11,7",4,2014,"1 306,00","13 465,52","14 771,52"
Stange KrF,4,417,Kommuneparti,508,"5,3",2,2014,"1 306,00","6 085,84","7 391,84"
PENSJONISPARTIET I STANGE,4,417,Kommuneparti,227,"2,4",1,2014,"1 306,00","2 719,46","4 025,46"
Stange Senterparti,4,417,Kommuneparti,708,"7,3",3,2014,"1 306,00","8 481,84","9 787,84"
Stange SV,4,417,Kommuneparti,319,"3,3",1,2014,"1 306,00","3 821,62","5 127,62"
Stange Venstre,4,417,Kommuneparti,506,"5,3",2,2014,"1 306,00","6 061,88","7 367,88"
NORD-ODAL ARBEIDERPARTI,4,418,Kommuneparti,1487,"55,6",14,2014,"1 306,00","17 814,26","19 120,26"
Nord-Odal Fremskrittsparti,4,418,Kommuneparti,412,"15,4",4,2014,"1 306,00","4 935,76","6 241,76"
NORD-ODAL HØYRE,4,418,Kommuneparti,318,"11,9",3,2014,"1 306,00","3 809,64","5 115,64"
Nord-Odal Senterparti,4,418,Kommuneparti,247,"9,2",2,2014,"1 306,00","2 959,06","4 265,06"
NORD-ODAL SV,4,418,Kommuneparti,136,"5,1",1,2014,"1 306,00","1 629,28","2 935,28"
NORD ODAL VENSTRE,4,418,Kommuneparti,74,"2,8",1,2014,"1 306,00","886,52","2 192,52"
SØR ODAL ARBEIDERPARTI,4,419,Kommuneparti,1383,"35,3",10,2014,"1 306,00","16 568,34","17 874,34"
Sør-Odal Fremskrittsparti,4,419,Kommuneparti,344,"8,8",2,2014,"1 306,00","4 121,12","5 427,12"
SØR-ODAL HØYRE,4,419,Kommuneparti,1013,"25,9",7,2014,"1 306,00","12 135,74","13 441,74"
SØR ODAL PENSJONISTPARTI,4,419,Kommuneparti,335,"8,6",2,2014,"1 306,00","4 013,30","5 319,30"
Sør-Odal Senterparti,4,419,Kommuneparti,512,"13,1",4,2014,"1 306,00","6 133,76","7 439,76"
Sør-Odal SV,4,419,Kommuneparti,227,"5,8",2,2014,"1 306,00","2 719,46","4 025,46"
EIDSKOG ARBEIDERPARTI,4,420,Kommuneparti,1079,"35,3",10,2014,"1 306,00","12 926,42","14 232,42"
Eidskog Fremskrittsparti,4,420,Kommuneparti,262,"8,6",3,2014,"1 306,00","3 138,76","4 444,76"
EIDSKOG HØYRE,4,420,Kommuneparti,519,17,5,2014,"1 306,00","6 217,62","7 523,62"
Eidskog Senterparti,4,420,Kommuneparti,929,"30,4",9,2014,"1 306,00","11 129,42","12 435,42"
Eidskog SV,4,420,Kommuneparti,132,"4,3",1,2014,"1 306,00","1 581,36","2 887,36"
EIDSKOG VENSTRE,4,420,Kommuneparti,115,"3,8",1,2014,"1 306,00","1 377,70","2 683,70"
Grue Arbeiderparti,4,423,Kommuneparti,1064,"45,6",9,2014,"1 306,00","12 746,72","14 052,72"
Grue Senterparti,4,423,Kommuneparti,344,"14,7",3,2014,"1 306,00","4 121,12","5 427,12"
GRUE SOSIALISTISKE VENSTREPARTI,4,423,Kommuneparti,80,"3,4",0,2014,"0,00","958,40","958,40"
ÅSNES FREMSKRITTSPARTI,4,425,Kommuneparti,387,11,3,2014,"1 306,00","4 636,26","5 942,26"
Åsnes Høyre,4,425,Kommuneparti,379,"10,7",3,2014,"1 306,00","4 540,42","5 846,42"
PENSJONISTPARTIET I ÅSNES,4,425,Kommuneparti,141,4,1,2014,"1 306,00","1 689,18","2 995,18"
ÅSNES SENTERPARTI,4,425,Kommuneparti,465,"13,2",3,2014,"1 306,00","5 570,70","6 876,70"
ÅSNES VENSTRE,4,425,Kommuneparti,451,"12,8",3,2014,"1 306,00","5 402,98","6 708,98"
VÅLER ARBEIDERPARTI,4,426,Kommuneparti,1035,"49,9",10,2014,"1 306,00","12 399,30","13 705,30"
VÅLER I SOLØR FRP,4,426,Kommuneparti,158,"7,6",1,2014,"1 306,00","1 892,84","3 198,84"
Våler Høyre i Hedmark,4,426,Kommuneparti,257,"12,4",2,2014,"1 306,00","3 078,86","4 384,86"
Pensjonistpartiet Våler,4,426,Kommuneparti,143,"6,9",1,2014,"1 306,00","1 713,14","3 019,14"
Våler Senterparti,4,426,Kommuneparti,179,"8,6",2,2014,"1 306,00","2 144,42","3 450,42"
VÅLER SOSIALISTISKE VENSTREPARTI,4,426,Kommuneparti,88,"4,2",1,2014,"1 306,00","1 054,24","2 360,24"
Våler i Hedmark Venstre,4,426,Kommuneparti,201,"9,7",2,2014,"1 306,00","2 407,98","3 713,98"
ELVERUM ARBEIDERPARTI,4,427,Kommuneparti,3801,"39,2",14,2014,"1 306,00","45 535,98","46 841,98"
ELVERUM (FRP) FREMSKRITTSPARTI,4,427,Kommuneparti,766,"7,9",3,2014,"1 306,00","9 176,68","10 482,68"
ELVERUM HØYRE,4,427,Kommuneparti,3486,"35,9",13,2014,"1 306,00","41 762,28","43 068,28"
Elverum KrF,4,427,Kommuneparti,171,"1,8",0,2014,"0,00","2 048,58","2 048,58"
Elverum Senterparti,4,427,Kommuneparti,502,"5,2",2,2014,"1 306,00","6 013,96","7 319,96"
ELVERUM SOSIALISTISK VENSTREPARTI,4,427,Kommuneparti,313,"3,2",1,2014,"1 306,00","3 749,74","5 055,74"
Elverum Venstre,4,427,Kommuneparti,329,"3,4",1,2014,"1 306,00","3 941,42","5 247,42"
TRYSIL ARBEIDERPARTI,4,428,Kommuneparti,1300,"36,6",9,2014,"1 306,00","15 574,00","16 880,00"
TRYSIL FREMSKRITTSPARTI,4,428,Kommuneparti,282,"7,9",2,2014,"1 306,00","3 378,36","4 684,36"
TRYSIL HØYRE,4,428,Kommuneparti,802,"22,6",6,2014,"1 306,00","9 607,96","10 913,96"
TRYSIL KRISTELIG FOLKEPARTI,4,428,Kommuneparti,172,"4,8",1,2014,"1 306,00","2 060,56","3 366,56"
Trysil Senterparti,4,428,Kommuneparti,602,"16,9",4,2014,"1 306,00","7 211,96","8 517,96"
Trysil SV,4,428,Kommuneparti,258,"7,3",2,2014,"1 306,00","3 090,84","4 396,84"
Trysil Venstre,4,428,Kommuneparti,139,"3,9",1,2014,"1 306,00","1 665,22","2 971,22"
Åmot Arbeiderparti,4,429,Kommuneparti,618,"30,4",7,2014,"1 306,00","7 403,64","8 709,64"
Åmot Fremskrittsparti,4,429,Kommuneparti,188,"9,2",2,2014,"1 306,00","2 252,24","3 558,24"
ÅMOT HØYRE,4,429,Kommuneparti,245,"12,1",3,2014,"1 306,00","2 935,10","4 241,10"
Åmot Senterparti,4,429,Kommuneparti,720,"35,4",8,2014,"1 306,00","8 625,60","9 931,60"
Åmot Sv,4,429,Kommuneparti,110,"5,4",1,2014,"1 306,00","1 317,80","2 623,80"
Åmot Venstre,4,429,Kommuneparti,67,"3,3",1,2014,"1 306,00","802,66","2 108,66"
Stor-Elvdal Arbeiderparti,4,430,Kommuneparti,642,"43,2",9,2014,"1 306,00","7 691,16","8 997,16"
STOR ELVDAL FREMSKRITTSPARTI,4,430,Kommuneparti,60,4,1,2014,"1 306,00","718,80","2 024,80"
STOR ELVDAL HØYRE,4,430,Kommuneparti,196,"13,2",3,2014,"1 306,00","2 348,08","3 654,08"
Stor-Elvdal Senterparti,4,430,Kommuneparti,136,"9,2",2,2014,"1 306,00","1 629,28","2 935,28"
Stor-Elvdal SV,4,430,Kommuneparti,46,"3,1",1,2014,"1 306,00","551,08","1 857,08"
Stor-Elvdal Venstre,4,430,Kommuneparti,100,"6,7",1,2014,"1 306,00","1 198,00","2 504,00"
RENDALEN ARBEIDERPARTI,4,432,Kommuneparti,559,"46,2",8,2014,"1 306,00","6 696,82","8 002,82"
Rendalen Høyre,4,432,Kommuneparti,97,8,1,2014,"1 306,00","1 162,06","2 468,06"
Rendalen SV,4,432,Kommuneparti,131,"10,8",2,2014,"1 306,00","1 569,38","2 875,38"
ENGERDAL ARBEIDERPARTI,4,434,Kommuneparti,412,"48,7",7,2014,"1 306,00","4 935,76","6 241,76"
Engerdal Høyre,4,434,Kommuneparti,101,"11,9",2,2014,"1 306,00","1 209,98","2 515,98"
Samlingslista Senterpartiet/Venstre,4,434,Kommuneparti,333,"39,4",6,2014,"1 306,00","3 989,34","5 295,34"
Tolga Arbeiderparti,4,436,Kommuneparti,192,"21,1",3,2014,"1 306,00","2 300,16","3 606,16"
Tolga Senterparti,4,436,Kommuneparti,379,"41,6",6,2014,"1 306,00","4 540,42","5 846,42"
Tolga SV,4,436,Kommuneparti,215,"23,6",4,2014,"1 306,00","2 575,70","3 881,70"
Tolga Venstre,4,436,Kommuneparti,89,"9,8",2,2014,"1 306,00","1 066,22","2 372,22"
TYNSET ARBEIDERPARTI,4,437,Kommuneparti,622,"21,9",6,2014,"1 306,00","7 451,56","8 757,56"
TYNSET FREMSKRITTSPARTI,4,437,Kommuneparti,80,"2,8",1,2014,"1 306,00","958,40","2 264,40"
TYNSET HØYRE,4,437,Kommuneparti,338,"11,9",3,2014,"1 306,00","4 049,24","5 355,24"
Tynset KrF,4,437,Kommuneparti,91,"3,2",1,2014,"1 306,00","1 090,18","2 396,18"
Tynset Senterparti,4,437,Kommuneparti,631,"22,2",6,2014,"1 306,00","7 559,38","8 865,38"
Tynset SV,4,437,Kommuneparti,834,"29,4",8,2014,"1 306,00","9 991,32","11 297,32"
Tynset Venstre,4,437,Kommuneparti,105,"3,7",1,2014,"1 306,00","1 257,90","2 563,90"
ALVDAL ARBEIDERPARTI,4,438,Kommuneparti,485,"38,2",6,2014,"1 306,00","5 810,30","7 116,30"
ALVDAL FREMSKRITTSPARTI,4,438,Kommuneparti,66,"5,2",1,2014,"1 306,00","790,68","2 096,68"
Alvdal KrF,4,438,Kommuneparti,75,"5,9",1,2014,"1 306,00","898,50","2 204,50"
Alvdal Senterparti,4,438,Kommuneparti,444,35,6,2014,"1 306,00","5 319,12","6 625,12"
ALVDAL VENSTRE,4,438,Kommuneparti,198,"15,6",3,2014,"1 306,00","2 372,04","3 678,04"
FOLLDAL ARBEIDERPARTI,4,439,Kommuneparti,436,"44,7",8,2014,"1 306,00","5 223,28","6 529,28"
